date,sleep_duration_hr,sleep_latency_min,wake_ups,deep_sleep_hr,rem_sleep_hr,sleep_score,sleep_start_time,sleep_end_time,sleep_consistency,fatigue_upon_waking,notes
2025-05-01,7.0,16,2,1.6,1.5,80,22:50,06:00,Good,2,"Slept well, slight trouble falling asleep"
2025-05-02,6.3,22,3,1.2,1.3,73,23:20,06:00,Irregular,3,"Late night, woke up tired"
2025-05-03,7.5,12,2,1.9,1.7,86,22:35,06:10,Good,2,"Consistent sleep, minor wake-up at 2 AM"
2025-05-04,6.8,18,3,1.4,1.4,77,23:10,06:00,Irregular,3,"Interrupted by noise outside"
2025-05-05,7.3,14,2,1.8,1.6,84,22:50,06:05,Good,2,"Solid sleep, felt rested"
2025-05-06,6.1,21,4,1.1,1.2,69,23:40,06:00,Irregular,4,"Restless, woke up several times"
2025-05-07,7.7,13,1,2.0,1.8,87,22:20,06:00,Good,1,"Excellent sleep, no disruptions"
2025-05-08,7.0,17,2,1.5,1.5,79,23:00,06:10,Good,2,"Slept well, minor wake-up at 5 AM"
2025-05-09,6.5,23,3,1.3,1.3,75,23:30,06:00,Irregular,3,"Stayed up late, woke up groggy"
2025-05-10,7.2,15,2,1.8,1.6,82,22:45,06:00,Good,2,"Solid sleep, minor wake-up at 3 AM"
2025-05-11,6.5,25,3,1.4,1.3,74,23:30,06:00,Irregular,3,"Late shift caused delay in falling asleep"
2025-05-12,8.0,10,1,2.1,1.9,88,22:00,06:00,Good,1,"Best sleep of the week, no disruptions"
2025-05-13,5.9,20,4,1.1,1.2,68,00:15,06:10,Irregular,4,"Restless due to back-to-back calls"
2025-05-14,7.5,12,2,1.9,1.7,85,22:15,05:45,Good,2,"Slept early to recover, quality was high"
2025-05-15,6.0,18,3,1.2,1.1,72,23:00,05:00,Irregular,3,"Interrupted by early alarm for shift"
2025-05-16,7.8,14,1,2.0,1.8,86,22:30,06:20,Good,1,"Felt very rested, consistent bedtime"
2025-05-17,6.7,22,3,1.3,1.4,76,23:20,06:00,Irregular,3,"Stayed up late, woke up groggy"
2025-05-18,7.4,13,2,1.7,1.6,83,22:40,06:10,Good,2,"Slept well, minor wake-up at 4 AM"
2025-05-19,6.2,19,4,1.0,1.2,70,23:50,06:00,Irregular,4,"Restless night, multiple wake-ups"
2025-05-20,7.2,15,2,1.8,1.6,82,22:45,06:00,Good,2,"Solid sleep, minor wake-up at 3 AM"
2025-05-21,6.5,25,3,1.4,1.3,74,23:30,06:00,Irregular,3,"Late shift caused delay in falling asleep"
2025-05-22,8.0,10,1,2.1,1.9,88,22:00,06:00,Good,1,"Best sleep of the week, no disruptions"
2025-05-23,5.9,20,4,1.1,1.2,68,00:15,06:10,Irregular,4,"Restless due to back-to-back calls"
2025-05-24,7.5,12,2,1.9,1.7,85,22:15,05:45,Good,2,"Slept early to recover, quality was high"
2025-05-25,6.0,18,3,1.2,1.1,72,23:00,05:00,Irregular,3,"Interrupted by early alarm for shift"
2025-05-26,7.8,14,1,2.0,1.8,86,22:30,06:20,Good,1,"Felt very rested, consistent bedtime"
2025-05-27,6.7,22,3,1.3,1.4,76,23:20,06:00,Irregular,3,"Stayed up late, woke up groggy"
2025-05-28,7.4,13,2,1.7,1.6,83,22:40,06:10,Good,2,"Slept well, minor wake-up at 4 AM"
2025-05-29,6.2,19,4,1.0,1.2,70,23:50,06:00,Irregular,4,"Restless night, multiple wake-ups"
2025-05-30,7.9,11,1,2.2,1.8,89,22:10,06:00,Good,1,"Deep sleep, felt refreshed"
2025-05-31,7.1,16,2,1.6,1.5,80,22:55,06:05,Good,2,"Slept well, slight trouble falling asleep"
2025-06-01,6.4,20,3,1.2,1.3,73,23:25,06:00,Irregular,3,"Late night, woke up tired"
2025-06-02,7.6,12,2,1.9,1.7,86,22:35,06:10,Good,2,"Consistent sleep, minor wake-up at 2 AM"
2025-06-03,6.8,18,3,1.4,1.4,77,23:10,06:00,Irregular,3,"Interrupted by noise outside"
2025-06-04,7.3,14,2,1.8,1.6,84,22:50,06:05,Good,2,"Solid sleep, felt rested"
2025-06-05,6.1,21,4,1.1,1.2,69,23:40,06:00,Irregular,4,"Restless, woke up several times"
2025-06-06,7.7,13,1,2.0,1.8,87,22:20,06:00,Good,1,"Excellent sleep, no disruptions"
2025-06-07,7.0,17,2,1.5,1.5,79,23:00,06:10,Good,2,"Slept well, minor wake-up at 5 AM"
2025-06-08,6.5,23,3,1.3,1.3,75,23:30,06:00,Irregular,3,"Stayed up late, woke up groggy"
2025-06-09,7.2,15,2,1.7,1.6,82,22:45,06:00,Good,2,"Solid sleep, minor wake-up at 3 AM"

